Severity,File,Line,Pattern,Content
MEDIUM,"src\components\ui\contact\useContactForm.ts",66,"throw new Error","throw new Error(result.error || t(""error""));"
MEDIUM,"src\features\manifest-editor\components\inspector\attachments\AttachmentTypeAnchor.tsx",28,"allowedFragments","const allowedIds = hostDef?.allowedFragments || [];"
MEDIUM,"src\features\manifest-editor\components\inspector\BlueprintLibraryPanel.tsx",95,"throw new Error","if (!res.ok) throw new Error(`Catalog fetch failed: ${res.status}`);"
MEDIUM,"src\features\manifest-editor\components\inspector\BlueprintLibraryPanel.tsx",102,"throw new Error","if (!bpRes.ok) throw new Error(`Blueprint fetch failed: ${bpRes.status}`);"
MEDIUM,"src\features\manifest-editor\components\ToastContainer.tsx",39,"throw new Error","if (!ctx) throw new Error('useToast must be used within a ToastProvider');"
MEDIUM,"src\features\manifest-editor\hooks\io\useBundleTransfer.ts",280,"validate","const validation = validateManifestSchema(parsed);"
MEDIUM,"src\features\manifest-editor\hooks\io\useManifestTransfer.ts",36,"throw new Error","if (!parsed || typeof parsed !== 'object') throw new Error(""Invalid manifest format."");"
MEDIUM,"src\features\manifest-editor\hooks\io\useManifestTransfer.ts",215,"throw new Error","if (req !== 'granted') throw new Error('File system write permission denied.');"
MEDIUM,"src\features\manifest-editor\hooks\io\useWasmTransfer.ts",105,"throw new Error","throw new Error(""Missing mandatory 'id' or 'ports' fields in contract."");"
MEDIUM,"src\features\manifest-editor\hooks\orchestrator\useSessionPersistence.ts",30,"validate","BlueprintValidator.validate(persisted.graph; { id: persisted.id });"
MEDIUM,"src\features\manifest-editor\services\StructuralAuditor.ts",309,"validate","const circularityIssues = CircularityAuditor.validate(manifest);"
MEDIUM,"src\features\manifest-editor\utils\blueprintUtils.ts",33,"throw new Error","throw new Error(`[BLUEPRINT] Invalid ModuleTemplate: Missing ID or Base Node.`);"
MEDIUM,"src\features\manifest-editor\utils\blueprintUtils.ts",112,"validate","export function validateBlueprint(blueprint: BlueprintDefinition): { valid: boolean; errors: string[] } {"
LOW,"src\features\manifest-editor\components\inspector\aesthetic\styles\library\GuildNavigator.tsx",13,"ElementCatalog","import type { ElementCategory } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\components\inspector\aesthetic\styles\ModuleStyleLibrary.tsx",16,"ElementCatalog","import { OMEGA_ELEMENT_CATALOG; type ElementCategory; getElementDefinition } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\components\inspector\attachments\AttachmentTypeAnchor.tsx",16,"ElementCatalog","import { OMEGA_ELEMENT_CATALOG; getElementDefinition } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\components\inspector\sections\AestheticSection.tsx",23,"ElementCatalog","import { getElementDefinition } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\components\inspector\sections\LogicSection.tsx",20,"ElementCatalog","import { OMEGA_ELEMENT_CATALOG } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\components\inspector\sections\SpatialSection.tsx",21,"ElementCatalog","import { getElementDefinition } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\components\inspector\shared\aesthetic\GovernanceRegistry.ts",11,"ElementCatalog","import type { AestheticCapability } from ""@/omega-ui-core/governance/ElementCatalog"";"
LOW,"src\features\manifest-editor\components\inspector\shared\aesthetic\IdentityGovernance.tsx",14,"ElementCatalog","import type { AestheticCapability } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\components\inspector\shared\aesthetic\IdentityGovernance.tsx",15,"ElementCatalog","import { OMEGA_ELEMENT_CATALOG } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\components\inspector\shared\aesthetic\UnifiedGraphicGovernance.tsx",14,"ElementCatalog","import { getElementDefinition } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\components\inspector\shared\CanonicalStylePreview.tsx",21,"ElementCatalog","import { getElementDefinition } from ""@/omega-ui-core/governance/ElementCatalog"";"
LOW,"src\features\manifest-editor\components\inspector\shared\IndustrialGovernanceConsole.tsx",16,"ElementCatalog","import { getElementDefinition } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\components\inspector\shared\StyleEditorModal.tsx",20,"ElementCatalog","import { getElementDefinition } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\components\lab\CellStudioContentArea.tsx",14,"ElementCatalog","import { OMEGA_ELEMENT_CATALOG } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\components\lab\CellStudioToolbar.tsx",15,"ElementCatalog","import { OMEGA_ELEMENT_CATALOG } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\utils\governanceUtils.ts",12,"ElementCatalog","import type { ElementCategory } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\features\manifest-editor\utils\governanceUtils.ts",13,"ElementCatalog","import { OMEGA_ELEMENT_CATALOG } from '@/omega-ui-core/governance/ElementCatalog';"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",20,"allowedFragments","* - 'capabilities' and 'allowedFragments' are soft suggestions for UI filtering."
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",87,"allowedFragments","* `allowedFragments` is advisory only. Use it for editor UX suggestions (e.g. ""+ Add"" menus);"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",90,"allowedFragments","allowedFragments?: string[]; // IDs of elements that can be attached to this host"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",106,"allowedFragments","allowedFragments: ['rack-screw'; 'label'; 'illustration'];"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",117,"allowedFragments","allowedFragments: ['label'; 'illustration'; 'led']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",127,"allowedFragments","allowedFragments: ['label'; 'illustration'; 'container'; 'group'; 'cell']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",139,"allowedFragments","allowedFragments: ['label'; 'led'; 'port'; 'switch'; 'stepper'; 'graphic-fragment'];"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",150,"allowedFragments","allowedFragments: ['label'; 'led'; 'port'; 'graphic-fragment'];"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",161,"allowedFragments","allowedFragments: ['label'; 'led'; 'port'; 'graphic-fragment'];"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",172,"allowedFragments","allowedFragments: ['label'; 'led'];"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",183,"allowedFragments","allowedFragments: ['label'];"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",194,"allowedFragments","allowedFragments: ['label']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",204,"allowedFragments","allowedFragments: ['label']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",214,"allowedFragments","allowedFragments: ['label']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",226,"allowedFragments","allowedFragments: ['label'; 'led']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",247,"allowedFragments","allowedFragments: ['label'; 'stepper']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",257,"allowedFragments","allowedFragments: ['label']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",267,"allowedFragments","allowedFragments: ['label'; 'illustration'; 'led']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",286,"allowedFragments","allowedFragments: ['label']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",327,"allowedFragments","allowedFragments: []"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",348,"allowedFragments","allowedFragments: ['label'; 'led'; 'graphic-fragment'];"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",377,"allowedFragments","allowedFragments: ['label'; 'led'; 'illustration'; 'rack-screw'; 'graphic-fragment'];"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",392,"allowedFragments","allowedFragments: ['label'; 'illustration']"
LOW,"src\omega-ui-core\uca\blueprintValidator.ts",37,"throw new Error","throw new Error(`[BLUEPRINT VALIDATION FAILED]\n${errors.join('\n')}`);"
LOW,"src\omega-ui-core\uca\blueprintValidator.ts",26,"validate","public static validate(nodes: OmegaNode | OmegaNode[]; manifest: Partial<OMEGA_Manifest>): void {"
LOW,"src\omega-ui-core\utils\manifestValidator.ts",19,"validate","*   const result = validateManifestSchema(parsed);"
LOW,"src\omega-ui-core\utils\manifestValidator.ts",52,"validate","export function validateManifestSchema(obj: unknown): ValidationResult | ValidationError {"
