element_type,file,line,snippet,context
button,src/components/ui/ContactForm.tsx,97,"<Button\n        type=""submit""\n        disabled={status === ""loading"" || cooldown}\n        className=""w-full py-8 text-sm uppercase tracking-widest font-black bg-primary text-zinc-950 group""\n      ",)} </AnimatePresence>
"input[type=""text""]",src/components/ui/ContactForm.tsx,42,"<input type=""text"" name=""bot_field"" tabIndex={-1} autoComplete=""off"" />","<form onSubmit={handleSubmit} className=""space-y-8"" aria-labelledby=""contact-title""> {/* Honeypot Field (Hidden for huma"
"input[type=""text""]",src/features/manifest-editor/components/gallery/TemplateGallery.tsx,74,"<input \n              type=""text""\n              placeholder=""Search templates (e.g. Filter, Oscillator, I/O)...""\n              value={searchQuery}\n              onChange={(e) => setSearchQuery","<div className=""px-6 py-4 border-b wb-outline wb-surface-subtle flex items-center gap-4""> <div className=""flex-1 relativ"
button,src/features/manifest-editor/components/header/ThemeToggle.tsx,76,<button\n              key={theme.id}\n              onClick={() => {\n                setUiTheme(theme.id);\n                setIsOpen(false);\n              }}\n              className={`w-full flex,"{isOpen && ( <div className=""absolute right-0 top-full mt-1 w-[180px] wb-surface border wb-outline rounded-xs shadow-2xl"
button,src/features/manifest-editor/components/help/HelpSectionItem.tsx,27,<button \n        onClick={onToggle}\n        className={`w-full flex items-center justify-between p-5 rounded-xs border transition-all ${\n          isExpanded ? 'bg-white/[0.03] border-white/20' : ',"export function HelpSectionItem({ section, isExpanded, onToggle }: HelpSectionItemProps) { return ( <div id={`help-ancho"
button,src/features/manifest-editor/components/hub/IndustrialStatusSection.tsx,64,<button \n           onClick={onDeploy}\n           className={`w-full flex items-center justify-center gap-3 p-4 rounded-sm transition-all shadow-xl group relative overflow-hidden ${sysReady ? 'bg-ac,"</div> <div className=""space-y-2"">"
button,src/features/manifest-editor/components/hub/LogicAssetsSection.tsx,44,"<button \n          onClick={() => triggerUpload('folder-upload')} \n          className=""w-full flex items-center justify-between p-3.5 bg-primary/10 border border-primary/20 rounded-sm hover:bg-prim","</div> <div className=""flex flex-col gap-2"">"
button,src/features/manifest-editor/components/hub/LogicAssetsSection.tsx,96,<button onClick={onClick} title={`Upload ${label}`} className={`flex flex-col items-center justify-center gap-1.5 p-3 wb-surface border wb-outline rounded-sm transition-all group relative overflow-hid,const indicatorClass = color === 'primary' ? 'bg-primary/20' : color === 'accent' ? 'bg-accent/20' : 'bg-cyan-400/20'; r
button,src/features/manifest-editor/components/ingestion/IngestionFileList.tsx,39,<button\n                  key={item.id}\n                  onClick={() => setPrimary(item.id)}\n                  className={`w-full flex items-center justify-between p-3 rounded-xs border transition,"</h3> <div className=""space-y-1""> {items.map(item => ("
button,src/features/manifest-editor/components/ingestion/IngestionFileList.tsx,72,<button\n                key={item.id}\n                onClick={() => toggleSelect(item.id)}\n                className={`flex items-center gap-3 p-2 rounded-xs border transition-all ${\n            ,"</h3> <div className=""grid grid-cols-2 gap-2""> {ingestionList.filter(i => i.type === 'resource').map(item => ("
button,src/features/manifest-editor/components/inspector/aesthetic/ArchPlaneSelector.tsx,32,<button\n            key={t}\n            onClick={() => {\n              if (!item.presentation) return;\n              onUpdate({ \n                presentation: { \n                  ...item.presen,"> <div className=""grid grid-cols-5 gap-1.5 pt-2""> {(['MAIN', 'FX', 'EDIT', 'MIDI', 'MOD'] as TabName[]).map(t => ("
"input[type=""range""]",src/features/manifest-editor/components/inspector/aesthetic/governance/AtmosphericPhysicsGovernance.tsx,98,"<input \n                         type=""range"" min=""0"" max=""360"" value={lighting.shadowAngle} \n                         onChange={(e) => updateLighting({ shadowAngle: parseInt(e.target.value) })}","<span className=""text-[8px] font-mono text-accent"">{lighting.shadowAngle}°</span> </div> <div className=""flex items-cent"
"input[type=""range""]",src/features/manifest-editor/components/inspector/aesthetic/governance/AtmosphericPhysicsGovernance.tsx,114,"<input \n                      type=""range"" min=""0"" max=""1"" step=""0.05"" value={lighting.ambientIntensity ?? 0.5} \n                      onChange={(e) => updateLighting({ ambientIntensity: parseFloa","<label className=""text-[7px] font-black uppercase wb-text-muted"">Ambient Light Intensity</label> <span className=""text-["
"input[type=""range""]",src/features/manifest-editor/components/inspector/aesthetic/governance/AtmosphericPhysicsGovernance.tsx,136,"<input \n                      type=""range"" min=""0"" max=""1"" step=""0.05"" value={lighting.surfaceGrain ?? 0} \n                      onChange={(e) => updateLighting({ surfaceGrain: parseFloat(e.target","<label className=""text-[7px] font-black uppercase wb-text-muted"">Industrial Surface Grain</label> <span className=""text-"
