Severity,File,Line,Pattern,Content
MEDIUM,"src\components\ui\contact\useContactForm.ts",55,"throw new Error","throw new Error(result.error || t(""error""));"
MEDIUM,"src\features\manifest-editor\components\inspector\BlueprintLibraryPanel.tsx",6,"validate","import { validateBlueprint } from '../../utils/blueprintUtils';"
MEDIUM,"src\features\manifest-editor\components\inspector\BlueprintLibraryPanel.tsx",106,"validate","const { valid; errors } = validateBlueprint(blueprint);"
MEDIUM,"src\features\manifest-editor\components\inspector\BlueprintLibraryPanel.tsx",114,"validate","const validationResult = BlueprintValidator.validateQuietly(blueprint.rootNode as OmegaNode; manifestWithResources);"
MEDIUM,"src\features\manifest-editor\components\inspector\shared\aesthetic\map.md",2,"ElementCatalog","Componentes modulares de gobernanza estética impulsados por el ElementCatalog."
MEDIUM,"src\features\manifest-editor\components\inspector\shared\aesthetic\SequenceIngestionLab.tsx",42,"reject","return new Promise<HTMLImageElement>((resolve; reject) => {"
MEDIUM,"src\features\manifest-editor\components\inspector\shared\aesthetic\SequenceIngestionLab.tsx",45,"reject","img.onerror = reject;"
MEDIUM,"src\features\manifest-editor\components\inspector\shared\map.md",5,"ElementCatalog","- [IndustrialGovernanceConsole.tsx](file:///d:/desarrollos/ABDSynthsWeb/abd-ia_synths/src/components/tools/manifest-editor/inspector/shared/IndustrialGovernanceConsole.tsx): Orquestador dinámico que compone la interfaz de edición basándose en las capacidades del ElementCatalog."
MEDIUM,"src\features\manifest-editor\hooks\io\useBundleTransfer.ts",133,"reject","await new Promise((resolve; reject) => {"
MEDIUM,"src\features\manifest-editor\hooks\io\useBundleTransfer.ts",137,"reject","script.onerror = reject;"
MEDIUM,"src\features\manifest-editor\hooks\io\useWasmTransfer.ts",95,"throw new Error","throw new Error(""Missing mandatory 'id' or 'ports' fields in contract."");"
MEDIUM,"src\features\manifest-editor\hooks\useAuditEngine.ts",57,"validate","const baseIssues = ValidationService.validate(manifest; contract as Parameters<typeof ValidationService.validate>[1]) || [];"
MEDIUM,"src\features\manifest-editor\hooks\useDocumentOrchestrator.ts",371,"validate","BlueprintValidator.validate(persisted.graph; { id: persisted.id });"
MEDIUM,"src\features\manifest-editor\hooks\useDocumentOrchestrator.ts",532,"validate","BlueprintValidator.validate(doc.manifest.ui.tree; doc.manifest);"
MEDIUM,"src\features\manifest-editor\hooks\useSimulationBridge.ts",94,"throw new Error","throw new Error('Deployment failed at runtime');"
MEDIUM,"src\features\manifest-editor\services\StructuralAuditor.ts",299,"validate","const circularityIssues = CircularityAuditor.validate(manifest);"
MEDIUM,"src\features\manifest-editor\utils\blueprintUtils.ts",8,"validate","export function validateBlueprint(blueprint: BlueprintDefinition): { valid: boolean; errors: string[] } {"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",10,"allowedFragments","* - 'capabilities' and 'allowedFragments' are soft suggestions for UI filtering."
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",47,"allowedFragments","* Catalog slot definition - replaces allowedFragments advisory"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",242,"allowedFragments","* `allowedFragments` is advisory only. Use it for editor UX suggestions (e.g. ""+ Add"" menus);"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",246,"allowedFragments","allowedFragments?: string[]; // IDs of elements that can be attached to this host"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",250,"allowedFragments","* Replaces allowedFragments advisory with proper slot-based composition"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",287,"allowedFragments","allowedFragments: ['rack-screw'; 'label'; 'illustration'];"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",298,"allowedFragments","allowedFragments: ['label'; 'illustration'; 'led']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",308,"allowedFragments","allowedFragments: ['label'; 'illustration'; 'container'; 'group'; 'cell']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",406,"allowedFragments","allowedFragments: ['label'];"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",417,"allowedFragments","allowedFragments: ['label']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",427,"allowedFragments","allowedFragments: ['label']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",437,"allowedFragments","allowedFragments: ['label']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",497,"allowedFragments","allowedFragments: ['label']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",540,"allowedFragments","allowedFragments: ['label']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",610,"allowedFragments","allowedFragments: ['label'; 'led'; 'graphic-fragment'];"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",639,"allowedFragments","allowedFragments: ['label'; 'led'; 'illustration'; 'rack-screw'; 'graphic-fragment'];"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",654,"allowedFragments","allowedFragments: ['label'; 'illustration']"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",958,"allowedFragments","// Fallback to allowedFragments for backward compatibility"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",720,"validate","export function validateCell(cell: CellValidationContext): UnifiedValidationResult {"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",742,"validate","const error = validateValueAgainstRule(value; rule);"
LOW,"src\omega-ui-core\governance\ElementCatalog.ts",988,"validate","export const validateValueAgainstRule = ("
